model,report,truth_count,pred_count,recall,value_accuracy,hallucination_rate
claude-haiku-4-5-20251001,sample-report-1,20,21,0.55,0.8182,0.4762
claude-haiku-4-5-20251001,sample-report-2,13,12,0.6923,1.0,0.25
claude-haiku-4-5-20251001,sample-report-3,14,14,0.7143,1.0,0.2857
claude-haiku-4-5-20251001,sample-report-4,17,17,0.9412,1.0,0.0588
claude-haiku-4-5-20251001,sample-report-5,12,15,0.8333,1.0,0.3333
claude-haiku-4-5-20251001,sample-report-6,71,56,0.4085,0.8621,0.4821
claude-haiku-4-5-20251001,sample-report-7,91,79,0.3626,0.9091,0.5823
claude-haiku-4-5-20251001,sample-report-8,3,0,0.0,0.0,0.0
claude-sonnet-4-6,sample-report-1,20,21,0.75,0.9333,0.2857
claude-sonnet-4-6,sample-report-2,13,13,0.9231,1.0,0.0769
claude-sonnet-4-6,sample-report-3,14,14,0.9286,1.0,0.0714
claude-sonnet-4-6,sample-report-4,17,26,0.9412,1.0,0.3846
claude-sonnet-4-6,sample-report-5,12,15,0.75,1.0,0.4
claude-sonnet-4-6,sample-report-6,71,71,0.7746,1.0,0.2254
claude-sonnet-4-6,sample-report-7,91,92,0.5824,0.8868,0.4239
claude-sonnet-4-6,sample-report-8,3,0,0.0,0.0,0.0
gemini-2.5-flash,sample-report-1,20,21,0.75,0.9333,0.2857
gemini-2.5-flash,sample-report-2,13,13,0.9231,1.0,0.0769
gemini-2.5-flash,sample-report-3,14,14,0.9286,1.0,0.0714
gemini-2.5-flash,sample-report-4,17,17,0.8235,1.0,0.1765
gemini-2.5-flash,sample-report-5,12,14,0.75,1.0,0.3571
gemini-2.5-flash,sample-report-6,71,71,0.5634,0.9,0.4366
gemini-2.5-flash,sample-report-7,91,90,0.4286,0.9487,0.5667
gemini-2.5-flash,sample-report-8,3,3,0.6667,1.0,0.3333
gpt-4o-mini,sample-report-1,20,2,0.05,1.0,0.5
gpt-4o-mini,sample-report-2,13,13,0.5385,1.0,0.4615
gpt-4o-mini,sample-report-3,14,13,0.3571,0.8,0.6154
gpt-4o-mini,sample-report-4,17,26,0.7647,1.0,0.5
gpt-4o-mini,sample-report-5,12,14,0.5833,0.8571,0.5
gpt-4o-mini,sample-report-6,71,43,0.1408,0.8,0.7674
gpt-4o-mini,sample-report-7,91,54,0.1868,0.7059,0.6852
gpt-4o-mini,sample-report-8,3,6,0.0,0.0,1.0
gpt-4o,sample-report-1,20,4,0.1,1.0,0.5
gpt-4o,sample-report-2,13,13,0.4615,1.0,0.5385
gpt-4o,sample-report-3,14,14,0.9286,1.0,0.0714
gpt-4o,sample-report-4,17,17,0.7647,1.0,0.2353
gpt-4o,sample-report-5,12,14,0.6667,1.0,0.4286
gpt-4o,sample-report-7,91,73,0.3626,0.8485,0.5479
gpt-4o,sample-report-8,3,3,0.0,0.0,1.0
